PCA1,PCA2,Target
-1.4270033271420857,-0.053722507990758575,2
-1.4458491319250253,-0.014115505811444792,2
-1.7202209425457253,0.6713918241422184,2
-1.6011257592569434,0.5352977541264134,2
-2.3230458213058878,0.19023056515013465,2
-2.3485040188954924,0.19182909543469842,2
-1.99346771164459,0.03345864372532888,2
-0.2352318606709863,-0.5134285023935322,2
-2.204723769319905,0.2769509146669274,2
-1.6811945111265048,-0.10447565669979414,2
-0.6409215380861374,0.3755455769305851,2
-1.6539678236615631,0.46232699985710196,2
-1.405936219067028,0.15089228014400574,2
-0.6670817720328813,1.877134538706286,1
-2.2287494791114324,0.10292154465085962,2
-2.2540192081801917,0.08235244906005387,2
-1.5093542021312594,-0.166401402776191,2
-1.8454375869957367,0.3787902859671695,2
-0.7053578009631555,-0.22040985801591886,2
-1.8710513011053445,0.43977041466196626,2
-1.7186456452445342,0.6951906734433104,2
-1.8768341912430346,0.12924236885951565,2
-0.7296616210066045,0.8874211786409377,2
0.31181650228082186,1.7782194926908377,1
-2.1558202111775824,0.09383119183547604,2
-2.017749926022953,0.5153444642701879,2
-1.5300729262133725,-0.11161327181608345,2
-0.3612952162308538,3.3461082846246613,1
-1.5609126206844348,0.42976613714346845,2
-1.0068097975386916,0.2608996666159158,2
-2.119674192231862,0.03832445396722781,2
-1.4541061475561186,-0.17534907598715843,2
-2.231960574816246,0.148862459655497,2
-2.0869678518612247,0.06966206467150149,2
-2.045452300508544,0.03435451022257232,2
-1.926032789476054,0.6840208737287009,2
-0.20418952014443068,0.7423205390204547,2
-2.186523217292923,0.10758110018764387,2
-1.868249517011342,-0.008791927735731876,2
-1.9971135883864821,0.09370422540480254,2
-2.0343839048880237,0.43555526339919604,2
-2.198228028705573,0.10725620431274539,2
-1.6345801183739976,0.5718871159170518,2
-0.5779683399505148,0.22093296876868035,2
-2.1860476466771313,0.4028569364508526,2
-0.10688022101037827,-0.6455461368035171,2
-1.0217228439390078,1.442545251245112,2
-1.5756744318139875,-0.09344581795428657,2
-0.41621454201634767,-0.500183720105663,2
