cpu_usage,memory_usage,temperature,battery_level,battery_drain,upload_speed_kbps,download_speed_kbps,brightness,Target
89.0,78.0,35.1,39.0,-489.0,0.04182489,0.020669277999999736,31.0,0
83.0,78.0,35.1,39.0,-511.0,0.012632151999999897,0.028665267000000938,31.0,0
89.0,78.0,35.1,39.0,-482.0,0.10239920999999996,0.11918197599999658,31.0,0
86.0,78.0,35.1,39.0,-819.0,0.16916065000000002,0.08458032500000101,31.0,0
89.0,78.0,35.1,39.0,-601.0,0.18292327000000008,0.48172223999999986,31.0,0
89.0,78.0,35.1,39.0,-588.0,0.9177744400000001,0.468847199999999,31.0,0
89.0,78.0,35.1,39.0,-583.0,0.42738283,0.5166032300000047,31.0,0
89.0,78.0,35.1,39.0,-634.0,0.10202891999999997,0.0,31.0,0
65.0,78.0,35.1,39.0,-607.0,0.20410861000000002,0.11760543000000112,31.0,0
77.0,78.0,35.1,39.0,-592.0,0.44031529999999997,0.8021850599999993,31.0,0
72.0,78.0,35.1,39.0,-527.0,0.05441542300000002,0.06291783600000045,31.0,0
88.0,78.0,35.1,39.0,-717.0,0.0,0.0,31.0,0
78.0,79.0,35.1,39.0,-708.0,0.04682647399999995,0.07011839999999836,31.0,0
89.0,79.0,35.1,39.0,-692.0,0.16924490000000003,0.09823985999999962,31.0,0
66.0,78.0,35.1,39.0,-515.0,0.17191975000000004,0.1636520499999996,31.0,0
80.0,78.0,35.1,39.0,-486.0,0.09823986000000007,0.04814725700000011,31.0,0
67.0,78.0,35.1,39.0,-423.0,0.41502082000000007,0.11274570999999867,31.0,0
72.0,78.0,35.1,39.0,-554.0,0.23179678999999997,0.15566626000000028,31.0,0
76.0,78.0,35.1,39.0,-557.0,0.41505729999999996,0.09131745999999907,31.0,0
89.0,79.0,35.1,39.0,-634.0,0.18301432000000006,0.7087247999999988,31.0,0
89.0,79.0,35.1,39.0,-637.0,0.9002647400000001,0.2546497999999957,31.0,0
88.0,79.0,34.9,39.0,-734.0,3.4816153000000005,2.9615110000000016,31.0,0
77.0,79.0,34.9,39.0,-659.0,1.6109149999999999,0.8341369599999986,31.0,0
84.0,80.0,34.9,39.0,-783.0,1.2028008000000001,0.6287091999999994,31.0,0
83.0,80.0,34.9,39.0,-595.0,2.3260517,1.4501357000000006,31.0,0
72.0,80.0,34.9,39.0,-660.0,0.7227680000000001,0.3973280999999993,31.0,0
82.0,79.0,34.9,39.0,-435.0,0.15349104999999996,0.15324818999999934,31.0,0
